Name,DataType,InitValue,Comment,Attribute,DeviceType,Address,
REG_MSG_TIP_BOX_MATRIX,INT16,,,,hold_register,480,Pipette-tip box matrix position (initial position 0)
REG_MSG_NE_PLATE_NUM,INT16,,,,hold_register,443,Set negative-electrode tray count
REG_MSG_SEPARATOR_PLATE_NUM,INT16,,,,hold_register,453,Set separator tray count
REG_MSG_PRESS_MODE,BOOL,,,,coil,8360,"Pressing mode (false=force-detection mode, true=distance mode)"
COIL_VISION_ALIGNMENT_IGNORE,BOOL,,,,coil,8300,"Vision alignment ignore flag (false=use, true=ignore)"
COIL_REINSPECTION_IGNORE,BOOL,,,,coil,8310,"Re-inspection ignore flag (false=use, true=ignore)"
COIL_GB_L_IGNORE_CMD,BOOL,,,,coil,8320,"Left glove-box chamber ignore flag (false=use, true=ignore)"
COIL_GB_R_IGNORE_CMD,BOOL,,,,coil,8420,"Right glove-box chamber ignore flag (false=use, true=ignore)"
COIL_VACUUM_DETECTION_IGNORE,BOOL,,,,coil,8350,"Vacuum detection ignore flag (false=use, true=ignore)"
COIL_ELECTROLYTE_DUAL_DROP_MODE,BOOL,,,,coil,8370,"Electrolyte dispensing mode (false=single-drop, true=dual-drop)"
COIL_POSITIVE_PLATE_WEIGHING_IGNORE,BOOL,,,,coil,8380,"Positive-electrode weighing ignore flag (false=use, true=ignore)"
COIL_ELECTRODE_ASSEMBLY_ORIENTATION,BOOL,,,,coil,8390,"Electrode assembly orientation (false=normal, true=inverted)"
COIL_PRESSING_CLEANING_IGNORE,BOOL,,,,coil,8400,"Pressing-cleaning ignore flag (false=use, true=ignore)"
COIL_MATERIAL_TRAY_LAYOUT_MODE,BOOL,,,,coil,8410,"Material-tray layout mode (false=horizontal, true=stacked)"
REG_MSG_DUAL_DROP_FIRST_VOLUME,INT16,,,,hold_register,4001,Pipette discharge volume
COIL_DUAL_DROP_SUCTION_TIMING,BOOL,,,,coil,8430,"Dual-drop suction timing (false=normal suction, true=suction first)"
COIL_DUAL_DROP_START_TIMING,BOOL,,,,coil,8470,"Dual-drop start timing (false=before positive electrode, true=after positive electrode)"
REG_MSG_BATTERY_CLEAN_IGNORE,BOOL,,,,coil,8460,"Battery-cleaning ignore flag (false=use, true=ignore)"
COIL_MATERIAL_SEARCH_DIALOG_APPEAR,BOOL,,,,coil,6470,Material-search confirmation dialog displayed
COIL_MATERIAL_SEARCH_CONFIRM_YES,BOOL,,,,coil,6480,Initialization material-search confirmation button: Yes
COIL_MATERIAL_SEARCH_CONFIRM_NO,BOOL,,,,coil,6490,Initialization material-search confirmation button: No
COIL_ALARM_100_SYSTEM_ERROR,BOOL,,,,coil,1000,Alarm 100 - System error
COIL_ALARM_101_EMERGENCY_STOP,BOOL,,,,coil,1010,Alarm 101 - Emergency stop
COIL_ALARM_111_GLOVEBOX_EMERGENCY_STOP,BOOL,,,,coil,1110,Alarm 111 - Glove-box emergency stop
COIL_ALARM_112_GLOVEBOX_GRATING_BLOCKED,BOOL,,,,coil,1120,Alarm 112 - Glove-box grating blocked
COIL_ALARM_160_PIPETTE_TIP_SHORTAGE,BOOL,,,,coil,1600,Alarm 160 - Pipette tip shortage
COIL_ALARM_161_POSITIVE_SHELL_SHORTAGE,BOOL,,,,coil,1610,Alarm 161 - Positive shell shortage
COIL_ALARM_162_ALUMINUM_FOIL_SHORTAGE,BOOL,,,,coil,1620,Alarm 162 - Aluminum-foil spacer shortage
COIL_ALARM_163_POSITIVE_PLATE_SHORTAGE,BOOL,,,,coil,1630,Alarm 163 - Positive-electrode shortage
COIL_ALARM_164_SEPARATOR_SHORTAGE,BOOL,,,,coil,1640,Alarm 164 - Separator shortage
COIL_ALARM_165_NEGATIVE_PLATE_SHORTAGE,BOOL,,,,coil,1650,Alarm 165 - Negative-electrode shortage
COIL_ALARM_166_FLAT_WASHER_SHORTAGE,BOOL,,,,coil,1660,Alarm 166 - Flat washer shortage
COIL_ALARM_167_SPRING_WASHER_SHORTAGE,BOOL,,,,coil,1670,Alarm 167 - Spring washer shortage
COIL_ALARM_168_NEGATIVE_SHELL_SHORTAGE,BOOL,,,,coil,1680,Alarm 168 - Negative shell shortage
COIL_ALARM_169_FINISHED_BATTERY_FULL,BOOL,,,,coil,1690,Alarm 169 - Finished-cell bin full
COIL_ALARM_201_SERVO_AXIS_01_ERROR,BOOL,,,,coil,2010,Alarm 201 - Servo axis 01 error
COIL_ALARM_202_SERVO_AXIS_02_ERROR,BOOL,,,,coil,2020,Alarm 202 - Servo axis 02 error
COIL_ALARM_203_SERVO_AXIS_03_ERROR,BOOL,,,,coil,2030,Alarm 203 - Servo axis 03 error
COIL_ALARM_204_SERVO_AXIS_04_ERROR,BOOL,,,,coil,2040,Alarm 204 - Servo axis 04 error
COIL_ALARM_205_SERVO_AXIS_05_ERROR,BOOL,,,,coil,2050,Alarm 205 - Servo axis 05 error
COIL_ALARM_206_SERVO_AXIS_06_ERROR,BOOL,,,,coil,2060,Alarm 206 - Servo axis 06 error
COIL_ALARM_207_SERVO_AXIS_07_ERROR,BOOL,,,,coil,2070,Alarm 207 - Servo axis 07 error
COIL_ALARM_208_SERVO_AXIS_08_ERROR,BOOL,,,,coil,2080,Alarm 208 - Servo axis 08 error
COIL_ALARM_209_SERVO_AXIS_09_ERROR,BOOL,,,,coil,2090,Alarm 209 - Servo axis 09 error
COIL_ALARM_210_SERVO_AXIS_10_ERROR,BOOL,,,,coil,2100,Alarm 210 - Servo axis 10 error
COIL_ALARM_211_SERVO_AXIS_11_ERROR,BOOL,,,,coil,2110,Alarm 211 - Servo axis 11 error
COIL_ALARM_212_SERVO_AXIS_12_ERROR,BOOL,,,,coil,2120,Alarm 212 - Servo axis 12 error
COIL_ALARM_213_SERVO_AXIS_13_ERROR,BOOL,,,,coil,2130,Alarm 213 - Servo axis 13 error
COIL_ALARM_214_SERVO_AXIS_14_ERROR,BOOL,,,,coil,2140,Alarm 214 - Servo axis 14 error
COIL_ALARM_250_OTHER_COMPONENT_ERROR,BOOL,,,,coil,2500,Alarm 250 - Other component error
COIL_ALARM_251_PIPETTE_COMM_ERROR,BOOL,,,,coil,2510,Alarm 251 - Pipette communication error
COIL_ALARM_252_PIPETTE_ALARM,BOOL,,,,coil,2520,Alarm 252 - Pipette alarm
COIL_ALARM_256_ELECTRIC_GRIPPER_ERROR,BOOL,,,,coil,2560,Alarm 256 - Electric gripper error
COIL_ALARM_262_RB_UNKNOWN_POSITION_ERROR,BOOL,,,,coil,2620,Alarm 262 - RB alarm: unknown position error
COIL_ALARM_263_RB_XYZ_PARAM_LIMIT_ERROR,BOOL,,,,coil,2630,Alarm 263 - RB alarm: X/Y/Z parameter limit exceeded
COIL_ALARM_264_RB_VISION_PARAM_ERROR,BOOL,,,,coil,2640,Alarm 264 - RB alarm: vision parameter error too large
COIL_ALARM_265_RB_NOZZLE_1_PICK_FAIL,BOOL,,,,coil,2650,Alarm 265 - RB alarm: nozzle 1 pick failed
COIL_ALARM_266_RB_NOZZLE_2_PICK_FAIL,BOOL,,,,coil,2660,Alarm 266 - RB alarm: nozzle 2 pick failed
COIL_ALARM_267_RB_NOZZLE_3_PICK_FAIL,BOOL,,,,coil,2670,Alarm 267 - RB alarm: nozzle 3 pick failed
COIL_ALARM_268_RB_NOZZLE_4_PICK_FAIL,BOOL,,,,coil,2680,Alarm 268 - RB alarm: nozzle 4 pick failed
COIL_ALARM_269_RB_TRAY_PICK_FAIL,BOOL,,,,coil,2690,Alarm 269 - RB alarm: material tray pick failed
COIL_ALARM_280_RB_COLLISION_ERROR,BOOL,,,,coil,2800,Alarm 280 - RB collision error
COIL_ALARM_290_VISION_SYSTEM_COMM_ERROR,BOOL,,,,coil,2900,Alarm 290 - Vision-system communication error
COIL_ALARM_291_VISION_ALIGNMENT_NG,BOOL,,,,coil,2910,Alarm 291 - Vision alignment NG error
COIL_ALARM_292_BARCODE_SCANNER_COMM_ERROR,BOOL,,,,coil,2920,Alarm 292 - Barcode-scanner communication error
COIL_ALARM_310_OCV_TRANSFER_NOZZLE_SUCTION_ERROR,BOOL,,,,coil,3100,Alarm 310 - OCV transfer nozzle suction-vacuum error
COIL_ALARM_311_OCV_TRANSFER_NOZZLE_BREAK_ERROR,BOOL,,,,coil,3110,Alarm 311 - OCV transfer nozzle vacuum-release error
COIL_ALARM_312_WEIGHT_TRANSFER_NOZZLE_SUCTION_ERROR,BOOL,,,,coil,3120,Alarm 312 - Weighing transfer nozzle suction-vacuum error
COIL_ALARM_313_WEIGHT_TRANSFER_NOZZLE_BREAK_ERROR,BOOL,,,,coil,3130,Alarm 313 - Weighing transfer nozzle vacuum-release error
COIL_ALARM_340_OCV_NOZZLE_TRANSFER_CYLINDER_ERROR,BOOL,,,,coil,3400,Alarm 340 - OCV nozzle transfer cylinder error
COIL_ALARM_342_OCV_NOZZLE_LIFT_CYLINDER_ERROR,BOOL,,,,coil,3420,Alarm 342 - OCV nozzle lift cylinder error
COIL_ALARM_344_OCV_CRIMPING_CYLINDER_ERROR,BOOL,,,,coil,3440,Alarm 344 - OCV crimping cylinder error
COIL_ALARM_350_WEIGHT_NOZZLE_TRANSFER_CYLINDER_ERROR,BOOL,,,,coil,3500,Alarm 350 - Weighing nozzle transfer cylinder error
COIL_ALARM_352_WEIGHT_NOZZLE_LIFT_CYLINDER_ERROR,BOOL,,,,coil,3520,Alarm 352 - Weighing nozzle lift cylinder error
COIL_ALARM_354_CLEANING_CLOTH_TRANSFER_CYLINDER_ERROR,BOOL,,,,coil,3540,Alarm 354 - Cleaning-cloth transfer cylinder error
COIL_ALARM_356_CLEANING_CLOTH_PRESS_CYLINDER_ERROR,BOOL,,,,coil,3560,Alarm 356 - Cleaning-cloth press cylinder error
COIL_ALARM_360_ELECTROLYTE_BOTTLE_POSITION_CYLINDER_ERROR,BOOL,,,,coil,3600,Alarm 360 - Electrolyte bottle positioning cylinder error
COIL_ALARM_362_PIPETTE_TIP_BOX_POSITION_CYLINDER_ERROR,BOOL,,,,coil,3620,Alarm 362 - Pipette-tip box positioning cylinder error
COIL_ALARM_364_REAGENT_BOTTLE_GRIPPER_LIFT_CYLINDER_ERROR,BOOL,,,,coil,3640,Alarm 364 - Reagent bottle gripper lift cylinder error
COIL_ALARM_366_REAGENT_BOTTLE_GRIPPER_CYLINDER_ERROR,BOOL,,,,coil,3660,Alarm 366 - Reagent bottle gripper cylinder error
COIL_ALARM_370_PRESS_MODULE_BLOW_CYLINDER_ERROR,BOOL,,,,coil,3700,Alarm 370 - Press module blow cylinder error
COIL_ALARM_151_ELECTROLYTE_BOTTLE_POSITION_ERROR,BOOL,,,,coil,1510,Alarm 151 - Electrolyte bottle position presence error
COIL_ALARM_152_ELECTROLYTE_BOTTLE_CAP_ERROR,BOOL,,,,coil,1520,Alarm 152 - Electrolyte bottle cap presence error
REG_DATA_10MM_POSITIVE_PLATE_REMAINING_COUNT,FLOAT32,,,,hold_register,520,10 mm positive-electrode remaining material count (R)
REG_DATA_12MM_POSITIVE_PLATE_REMAINING_COUNT,FLOAT32,,,,hold_register,522,12 mm positive-electrode remaining material count (R)
REG_DATA_16MM_POSITIVE_PLATE_REMAINING_COUNT,FLOAT32,,,,hold_register,524,16 mm positive-electrode remaining material count (R)
REG_DATA_ALUMINUM_FOIL_REMAINING_COUNT,FLOAT32,,,,hold_register,526,Aluminum-foil remaining material count (R)
REG_DATA_POSITIVE_SHELL_REMAINING_COUNT,FLOAT32,,,,hold_register,528,Positive shell remaining material count (R)
REG_DATA_FLAT_WASHER_REMAINING_COUNT,FLOAT32,,,,hold_register,530,Flat washer remaining material count (R)
REG_DATA_NEGATIVE_SHELL_REMAINING_COUNT,FLOAT32,,,,hold_register,532,Negative shell remaining material count (R)
REG_DATA_SPRING_WASHER_REMAINING_COUNT,FLOAT32,,,,hold_register,534,Spring washer remaining material count (R)
REG_DATA_FINISHED_BATTERY_REMAINING_CAPACITY,FLOAT32,,,,hold_register,536,Finished-cell remaining capacity (R)
REG_DATA_FINISHED_BATTERY_NG_REMAINING_CAPACITY,FLOAT32,,,,hold_register,538,Finished-cell NG-slot remaining capacity (R)
COIL_POSITIVE_PLATE_PICK_MODE,BOOL,,,,coil,8490,"Positive-electrode pick-up mode (true=horizontal pick-up, false=magazine pick-up)"
COIL_NEGATIVE_PLATE_THICKNESS_MODE,BOOL,,,,coil,8440,"Negative-electrode thickness mode (true=thin negative electrode, false=thick negative electrode)"
REG_MSG_THICK_NEGATIVE_PLATE_BLOW_TIME,INT16,,,,hold_register,514,Thick negative-electrode air-blow time
REG_MSG_THIN_NEGATIVE_PLATE_BLOW_TIME,INT16,,,,hold_register,516,Thin negative-electrode air-blow time
